id,title,description,dcat_ap_id,dcat_ap_title,en_iso_19115_id,en_iso_19115_title,inspire_id,inspire_title
Größe Kernfamilie bis und mehr Personen Familien insgesamt,Größe Kernfamilie bis und mehr Personen Familien insgesamt,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Gebäude nach Energieträger der Heizung Kein Energieträger,Gebäude nach Energieträger der Heizung Kein Energieträger,,ENER,Energy,utilitiesCommunication,Utilities / Communication,ER,Energy resources
"Bundestagswahl Erststimme Wirklich besser regieren, für unser Land und für unsere Zukun","Bundestagswahl Erststimme Wirklich besser regieren, für unser Land und für unsere Zukun",,GOVE,Government and public sector,society,Society,SU,Statistical units
Bundestagswahl Zweitstimme REP,Bundestagswahl Zweitstimme REP,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Bundestagswahl Erststimme EW 8,Bundestagswahl Erststimme EW 8,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Heizungsart keine Heizung,Heizungsart keine Heizung,,SOCI,Population and society,society,Society,BU,Buildings
Zahl der Staatsangehörigkeiten Bevölkerung insgesamt,Zahl der Staatsangehörigkeiten Bevölkerung insgesamt,,SOCI,Population and society,society,Society,PD,Population distribution — demography
"GRW, Bereich Förderung der gewerblichen Wirtschaft (kurzfristig)","GRW, Bereich Förderung der gewerblichen Wirtschaft (kurzfristig)",,GOVE,Government and public sector,society,Society,US,Utility and governmental services
Gebäudetyp Größe Mehrfamilienhaus 3 bis 6 Wohnungen,Gebäudetyp Größe Mehrfamilienhaus 3 bis 6 Wohnungen,,SOCI,Population and society,structure,Structure,BU,Buildings
Gebäudetyp Größe Anderer Gebäudetyp,Gebäudetyp Größe Anderer Gebäudetyp,,REGI,Regions and cities,structure,Structure,BU,Buildings
Bundestagswahl Zweitstimme Die PARTEI,Bundestagswahl Zweitstimme Die PARTEI,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Fläche der Wohnung 10m2 Intervalle 130 bis 139,Fläche der Wohnung 10m2 Intervalle 130 bis 139,,SOCI,Population and society,society,Society,BU,Buildings
Typ private Haushalte Lebensform Ehepaare,Typ private Haushalte Lebensform Ehepaare,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Bundestagswahl Gültige Stimmen,Bundestagswahl Gültige Stimmen,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Alter infr 40 bis 59,Alter infr 40 bis 59,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Alter in 10er Jahresgruppen 60 bis 69,Alter in 10er Jahresgruppen 60 bis 69,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Heizungsart Fernheizung,Heizungsart Fernheizung,,ENER,Energy,utilitiesCommunication,Utilities / Communication,ER,Energy resources
Gebäude nach überwiegender Heizungsart Blockheizung,Gebäude nach überwiegender Heizungsart Blockheizung,,ENER,Energy,utilitiesCommunication,Utilities / Communication,BU,Buildings
Bundestagswahl Zweitstimme dieBasis,Bundestagswahl Zweitstimme dieBasis,,GOVE,Government and public sector,society,Society,AU,Administrative units
Zahl der Staatsangehörigkeiten nicht bekannt,Zahl der Staatsangehörigkeiten nicht bekannt,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Haushaltsgröße,Haushaltsgröße,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Bundestagswahl Zweitstimme SPD,Bundestagswahl Zweitstimme SPD,,GOVE,Government and public sector,society,Society,SU,Statistical units
Arbeitslosenquote,Arbeitslosenquote,,ECON,Economy and finance,economy,Farming,PD,Population distribution — demography
Bundestagswahl Zweitstimme DIE LINKE,Bundestagswahl Zweitstimme DIE LINKE,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Pendler mit Arbeitsweg 150 km und mehr,Pendler mit Arbeitsweg 150 km und mehr,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Gebäude nach Baujahr in MZ-Klassen 1991 bis 2000,Gebäude nach Baujahr in MZ-Klassen 1991 bis 2000,,SOCI,Population and society,society,Society,BU,Buildings
SGBII-Leistungen,SGBII-Leistungen,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Typ der Kernfamilie  nach Kindern Nichteheliche Lebensgemeinschaft und min. ein Kind unter 18,Typ der Kernfamilie  nach Kindern Nichteheliche Lebensgemeinschaft und min. ein Kind unter 18,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Baujahr 2010 bis 2015,Baujahr 2010 bis 2015,,SOCI,Population and society,structure,Structure,BU,Buildings
Gebäudetyp Größe Freistehendes Zweifamilienhaus,Gebäudetyp Größe Freistehendes Zweifamilienhaus,,SOCI,Population and society,society,Society,BU,Buildings
Bundestagswahl Erststimme FDP,Bundestagswahl Erststimme FDP,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Religion Bevölkerung insgesamt,Religion Bevölkerung insgesamt,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Gebäude nach Energieträger der Heizung Solar / Geothermie / Wärmepumpe,Gebäude nach Energieträger der Heizung Solar / Geothermie / Wärmepumpe,,ENER,Energy,utilitiesCommunication,Utilities / Communication,BU,Buildings
Staatsangehörigkeit Gruppen Bevölkerung insgesamt,Staatsangehörigkeit Gruppen Bevölkerung insgesamt,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Fläche der Wohnung 10m2 Intervalle 60 bis 69,Fläche der Wohnung 10m2 Intervalle 60 bis 69,,SOCI,Population and society,society,Society,SU,Statistical units
Heizungsart Zentralheizung,Heizungsart Zentralheizung,,ENER,Energy,utilitiesCommunication,Utilities / Communication,ER,Energy resources
Bundestagswahl Erststimme Einzelwahlvorschlag,Bundestagswahl Erststimme Einzelwahlvorschlag,,GOVE,Government and public sector,society,Society,AU,Administrative units
Niederschlag,Niederschlag,,ENVI,Environment,climatologyMeteorologyAtmosphere,Climatology / Meteorology / Atmosphere,AC-MF,Atmospheric Conditions and meteorological geographical features
Bundestagswahl Erststimme FREIE WÄHLER,Bundestagswahl Erststimme FREIE WÄHLER,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Gebäude nach Energieträger der Heizung Heizöl,Gebäude nach Energieträger der Heizung Heizöl,,ENER,Energy,utilitiesCommunication,Utilities / Communication,BU,Buildings
Binnenwanderungsvolumen der Männer,Binnenwanderungsvolumen der Männer,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Familienstand geschieden,Familienstand geschieden,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Gebäude nach Baujahr in MZ-Klassen vor 1919,Gebäude nach Baujahr in MZ-Klassen vor 1919,,SOCI,Population and society,structure,Structure,BU,Buildings
Bundestagswahl Zweitstimme FDP,Bundestagswahl Zweitstimme FDP,,GOVE,Government and public sector,society,Society,AU,Administrative units
Typ private Haushalte Familie Paare mit Kindern,Typ private Haushalte Familie Paare mit Kindern,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Bundestagswahl Erststimme Gesicht zeigen,Bundestagswahl Erststimme Gesicht zeigen,,GOVE,Government and public sector,society,Society,AU,Administrative units
Bundestagswahl Erststimme Internationalistisches Bündnis,Bundestagswahl Erststimme Internationalistisches Bündnis,,GOVE,Government and public sector,society,Society,AM,Area management/restriction/regulation zones and reporting units
(SDG 16) Straftaten,(SDG 16) Straftaten,,JUST,"Justice, legal system and public safety",society,Society,HH,Human health and safety
Größe Kernfamilie bis und mehr Personen 4 Personen,Größe Kernfamilie bis und mehr Personen 4 Personen,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Typ der Kernfamilie  nach Kindern Nichteheliche Lebensgemeinschaft  und Kinder ab 18,Typ der Kernfamilie  nach Kindern Nichteheliche Lebensgemeinschaft  und Kinder ab 18,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Weibliche Schulabgänger mit Hauptschulabschluss,Weibliche Schulabgänger mit Hauptschulabschluss,,EDUC,"Education, culture and sport",society,Society,PD,Population distribution — demography
Wohnung Gebäudetyp Größe Mehrfamilienhaus 3 bis 6 Wohnungen,Wohnung Gebäudetyp Größe Mehrfamilienhaus 3 bis 6 Wohnungen,,SOCI,Population and society,structure,Structure,BU,Buildings
Erwerbsfähige Bevölkerung (15 bis unter 65 Jahre),Erwerbsfähige Bevölkerung (15 bis unter 65 Jahre),,SOCI,Population and society,society,Society,PD,Population distribution — demography
Pkw Gas,Pkw Gas,,TRAN,Transport,transportation,Transportation,TN,Transport networks
"Einwohner 85 Jahre und älter, Frauen","Einwohner 85 Jahre und älter, Frauen",,SOCI,Population and society,society,Society,PD,Population distribution — demography
Typ private Haushalte Lebensform Haushalte insgesamt,Typ private Haushalte Lebensform Haushalte insgesamt,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Bundestagswahl Erststimme Ihre parteilose Direktstimme im Bundestag für Mitbestimmung,Bundestagswahl Erststimme Ihre parteilose Direktstimme im Bundestag für Mitbestimmung,,GOVE,Government and public sector,society,Society,AU,Administrative units
Gebäudetyp Größe Mehrfamilienhaus 7 bis 12 Wohnungen,Gebäudetyp Größe Mehrfamilienhaus 7 bis 12 Wohnungen,,SOCI,Population and society,structure,Structure,BU,Buildings
Gebäude nach Energieträger der Heizung Gas,Gebäude nach Energieträger der Heizung Gas,,ENER,Energy,utilitiesCommunication,Utilities / Communication,BU,Buildings
Neubauwohnungen in Ein- und Zweifamilienhäusern,Neubauwohnungen in Ein- und Zweifamilienhäusern,,SOCI,Population and society,society,Society,LU,Land use
Wohngeldhaushalte,Wohngeldhaushalte,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Bundestagswahl Zweitstimme DM,Bundestagswahl Zweitstimme DM,,GOVE,Government and public sector,society,Society,PS,Protected sites
Wohnung Gebäudetyp Größe Zweifamilienhaus Doppelhaushälfte,Wohnung Gebäudetyp Größe Zweifamilienhaus Doppelhaushälfte,,SOCI,Population and society,society,Society,BU,Buildings
Bundestagswahl Erststimme EW 12,Bundestagswahl Erststimme EW 12,,GOVE,Government and public sector,society,Society,SU,Statistical units
Staatsangehörigkeit Gruppen Ausland sonstige,Staatsangehörigkeit Gruppen Ausland sonstige,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Bundestagswahl Erststimme EW 6,Bundestagswahl Erststimme EW 6,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Gebäudetyp Größe Freistehendes Einfamilienhaus,Gebäudetyp Größe Freistehendes Einfamilienhaus,,SOCI,Population and society,society,Society,BU,Buildings
Bundestagswahl Erststimme AfD,Bundestagswahl Erststimme AfD,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Wohnung Gebäudetyp Größe Wohnungen insgesamt,Wohnung Gebäudetyp Größe Wohnungen insgesamt,,SOCI,Population and society,society,Society,BU,Buildings
Geringfügig Beschäftigte 65 Jahre und älter,Geringfügig Beschäftigte 65 Jahre und älter,,SOCI,Population and society,society,Society,PD,Population distribution — demography
(SDG 16) Steuereinnahmen,(SDG 16) Steuereinnahmen,,ECON,Economy and finance,economy,Farming,SU,Statistical units
Anteil Erwerbstätige Finanz- und Unternehmensdienstleistungen,Anteil Erwerbstätige Finanz- und Unternehmensdienstleistungen,,ECON,Economy and finance,economy,Farming,US,Utility and governmental services
Familienstand verheiratet,Familienstand verheiratet,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Gebäude nach Baujahr in MZ-Klassen 1919 bis 1948,Gebäude nach Baujahr in MZ-Klassen 1919 bis 1948,,SOCI,Population and society,structure,Structure,BU,Buildings
Bruttowertschöpfung je Erwerbstätigen Sekundärer Sektor,Bruttowertschöpfung je Erwerbstätigen Sekundärer Sektor,,ECON,Economy and finance,economy,Farming,SU,Statistical units
Arbeitslosigkeit - Struktur,Arbeitslosigkeit - Struktur,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Geringfügig Beschäftigte 65 Jahre und älter weiblich,Geringfügig Beschäftigte 65 Jahre und älter weiblich,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Alter infr unter 3,Alter infr unter 3,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Fläche der Wohnung 10m2 Intervalle 40 bis 49,Fläche der Wohnung 10m2 Intervalle 40 bis 49,,SOCI,Population and society,society,Society,BU,Buildings
Wohnungen nach Zahl der Räume 6 Räume,Wohnungen nach Zahl der Räume 6 Räume,,REGI,Regions and cities,society,Society,BU,Buildings
Fläche der Wohnung 10m2 Intervalle 100 bis 109,Fläche der Wohnung 10m2 Intervalle 100 bis 109,,SOCI,Population and society,society,Society,BU,Buildings
Apotheken,Apotheken,,HEAL,Health,health,Health,HH,Human health and safety
Kommunale Schulden,Kommunale Schulden,,ECON,Economy and finance,economy,Farming,US,Utility and governmental services
Bundestagswahl Erststimme dieBasis,Bundestagswahl Erststimme dieBasis,,GOVE,Government and public sector,society,Society,AU,Administrative units
Alter in 10er Jahresgruppen unter 10,Alter in 10er Jahresgruppen unter 10,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Schulabgänger mit mittlerem Abschluss,Schulabgänger mit mittlerem Abschluss,,EDUC,"Education, culture and sport",society,Society,SU,Statistical units
Beschäftigte mit Anforderungsniveau Helfer,Beschäftigte mit Anforderungsniveau Helfer,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Bundestagswahl Erststimme Willi-Weise-Projekt,Bundestagswahl Erststimme Willi-Weise-Projekt,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Ausbildungsplätze,Ausbildungsplätze,,EDUC,"Education, culture and sport",society,Society,EF,Environmental monitoring facilities
Beschäftigte Tertiärer Sektor,Beschäftigte Tertiärer Sektor,,ECON,Economy and finance,economy,Farming,PF,Production and industrial facilities
Typ private Haushalte Lebensform Alleinerziehende Mütter,Typ private Haushalte Lebensform Alleinerziehende Mütter,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Wohnungen nach Zahl der Räume 3 Räume,Wohnungen nach Zahl der Räume 3 Räume,,SOCI,Population and society,society,Society,BU,Buildings
Bevölkerung weiblich,Bevölkerung weiblich,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Alter in 10er Jahresgruppen 80 und älter,Alter in 10er Jahresgruppen 80 und älter,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Typ der Kernfamilie  nach Kindern Ehepaar ohne Kinder,Typ der Kernfamilie  nach Kindern Ehepaar ohne Kinder,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Gebäudetyp Größe Gebäude insgesamt,Gebäudetyp Größe Gebäude insgesamt,,REGI,Regions and cities,planningCadastre,Planning / Cadastre,BU,Buildings
Außenwanderungssaldo Frauen,Außenwanderungssaldo Frauen,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Alter in 10er Jahresgruppen 10 bis 19,Alter in 10er Jahresgruppen 10 bis 19,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Bundestagswahl Erststimme PIRATEN,Bundestagswahl Erststimme PIRATEN,,GOVE,Government and public sector,society,Society,AM,Area management/restriction/regulation zones and reporting units
Alter in 10er Jahresgruppen 20 bis 29,Alter in 10er Jahresgruppen 20 bis 29,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Bundestagswahl Zweitstimme FREIE WÄHLER,Bundestagswahl Zweitstimme FREIE WÄHLER,,GOVE,Government and public sector,society,Society,SU,Statistical units
Leistungen für Unterkunft an SGBII,Leistungen für Unterkunft an SGBII,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Siedlungsstruktur,Siedlungsstruktur,,REGI,Regions and cities,society,Society,BU,Buildings
Bundestagswahl Erststimme ehrliche Politik / Transparenz,Bundestagswahl Erststimme ehrliche Politik / Transparenz,,GOVE,Government and public sector,society,Society,US,Utility and governmental services
Kreisverwaltungen,Kreisverwaltungen,,GOVE,Government and public sector,society,Society,AU,Administrative units
Männliche Langzeitarbeitslose,Männliche Langzeitarbeitslose,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Ältere Arbeitslose,Ältere Arbeitslose,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Haushalte mit hohem Einkommen,Haushalte mit hohem Einkommen,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Gebäude nach Energieträger der Heizung Biomasse / Biogas,Gebäude nach Energieträger der Heizung Biomasse / Biogas,,ENER,Energy,utilitiesCommunication,Utilities / Communication,BU,Buildings
Gebäude nach Anzahl der Wohnungen Gebäude insgesamt,Gebäude nach Anzahl der Wohnungen Gebäude insgesamt,,SOCI,Population and society,society,Society,BU,Buildings
Ausländeranteil,Ausländeranteil,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Bundestagswahl Erststimme DM,Bundestagswahl Erststimme DM,,GOVE,Government and public sector,society,Society,AM,Area management/restriction/regulation zones and reporting units
Bundestagswahl Zweitstimme DIE LINKE ,Bundestagswahl Zweitstimme DIE LINKE ,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Pkw Plug-In-Hybrid (PHEV),Pkw Plug-In-Hybrid (PHEV),,TRAN,Transport,transportation,Transportation,TN,Transport networks
Stationäre Pflege,Stationäre Pflege,,HEAL,Health,health,Health,HH,Human health and safety
Ausländerinnen,Ausländerinnen,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Bundestagswahl Erststimme DKP,Bundestagswahl Erststimme DKP,,SOCI,Population and society,society,Society,SU,Statistical units
Bundestagswahl Erststimme GRÜNE/B90,Bundestagswahl Erststimme GRÜNE/B90,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Bundestagswahl Erststimme UNABHÄNGIGE,Bundestagswahl Erststimme UNABHÄNGIGE,,GOVE,Government and public sector,society,Society,AM,Area management/restriction/regulation zones and reporting units
Ausländische Berufsschüler,Ausländische Berufsschüler,,EDUC,"Education, culture and sport",society,Society,PD,Population distribution — demography
Industriequote,Industriequote,,ECON,Economy and finance,economy,Farming,PF,Production and industrial facilities
Beschäftigte Pimärer Sektor,Beschäftigte Pimärer Sektor,,AGRI,"Agriculture, fisheries, forestry and food",farming,Farming,AF,Agricultural and aquaculture facilities
Bundestagswahl Zweitstimme BSW,Bundestagswahl Zweitstimme BSW,,GOVE,Government and public sector,society,Society,PD,Population distribution — demography
Bandbreitenverfügbarkeit mindestens 100 Mbit/s,Bandbreitenverfügbarkeit mindestens 100 Mbit/s,,TECH,Science and technology,utilitiesCommunication,Utilities / Communication,US,Utility and governmental services
Fläche der Wohnung 10m2 Intervalle Wohnungen insgesamt,Fläche der Wohnung 10m2 Intervalle Wohnungen insgesamt,,SOCI,Population and society,society,Society,BU,Buildings
Arbeitslose Frauen,Arbeitslose Frauen,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Beschäftigtendichte (WO),Beschäftigtendichte (WO),,SOCI,Population and society,society,Society,PD,Population distribution — demography
Bundestagswahl Erststimme Bürger bewirbt sich als freier Direktkandidat,Bundestagswahl Erststimme Bürger bewirbt sich als freier Direktkandidat,,GOVE,Government and public sector,society,Society,AU,Administrative units
(SDG 8) Erwerbstätige Aufstocker,(SDG 8) Erwerbstätige Aufstocker,,ECON,Economy and finance,economy,Farming,PD,Population distribution — demography
Gebäude nach Energieträger der Heizung Strom,Gebäude nach Energieträger der Heizung Strom,,ENER,Energy,utilitiesCommunication,Utilities / Communication,BU,Buildings
Bundestagswahl Erststimme Direkte Demokratie und NATO-Austritt,Bundestagswahl Erststimme Direkte Demokratie und NATO-Austritt,,GOVE,Government and public sector,society,Society,SU,Statistical units
Berufsschülerinnen,Berufsschülerinnen,,EDUC,"Education, culture and sport",society,Society,PD,Population distribution — demography
Arbeitsvolumen,Arbeitsvolumen,,ECON,Economy and finance,economy,Farming,SU,Statistical units
Auszubildende je 100 Einwohner 15 bis 25 Jahre,Auszubildende je 100 Einwohner 15 bis 25 Jahre,,EDUC,"Education, culture and sport",society,Society,PD,Population distribution — demography
Wohngeldhaushalte (Mietzuschuss),Wohngeldhaushalte (Mietzuschuss),,SOCI,Population and society,society,Society,PD,Population distribution — demography
Anteil Minijobs (Frauen),Anteil Minijobs (Frauen),,SOCI,Population and society,society,Society,PD,Population distribution — demography
Anteil Bruttowertschöpfung Primärer Sektor,Anteil Bruttowertschöpfung Primärer Sektor,,AGRI,"Agriculture, fisheries, forestry and food",farming,Farming,AF,Agricultural and aquaculture facilities
Bundestagswahl Erststimme REP,Bundestagswahl Erststimme REP,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Angebotsmietpreise,Angebotsmietpreise,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Personal in Pflegeheimen,Personal in Pflegeheimen,,HEAL,Health,health,Health,HH,Human health and safety
Bundestagswahl Zweitstimme ÖDP,Bundestagswahl Zweitstimme ÖDP,,GOVE,Government and public sector,society,Society,AU,Administrative units
Alter infr 67 bis 74,Alter infr 67 bis 74,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Geborene,Geborene,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Familienstand ohne Angabe,Familienstand ohne Angabe,,SOCI,Population and society,society,Society,PD,Population distribution — demography
"Polizeidienststellen, durchgehend besetzt","Polizeidienststellen, durchgehend besetzt",,JUST,"Justice, legal system and public safety",society,Society,US,Utility and governmental services
Alter infr 25 bis 39,Alter infr 25 bis 39,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Geringfügig Beschäftigte 65 Jahre und älter männlich,Geringfügig Beschäftigte 65 Jahre und älter männlich,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Umsatz Bauhauptgewerbe,Umsatz Bauhauptgewerbe,,ECON,Economy and finance,economy,Farming,PF,Production and industrial facilities
(SDG 11) Verunglückte im Verkehr,(SDG 11) Verunglückte im Verkehr,,TRAN,Transport,transportation,Transportation,TN,Transport networks
Bundestagswahl Erststimme Die PARTEI,Bundestagswahl Erststimme Die PARTEI,,GOVE,Government and public sector,society,Society,AM,Area management/restriction/regulation zones and reporting units
Bundestagswahl Erststimme Die Linke,Bundestagswahl Erststimme Die Linke,,GOVE,Government and public sector,society,Society,AU,Administrative units
Staatsangehörigkeit Gruppen EU27-Land,Staatsangehörigkeit Gruppen EU27-Land,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Bundestagswahl Erststimme ,Bundestagswahl Erststimme ,,GOVE,Government and public sector,society,Society,AM,Area management/restriction/regulation zones and reporting units
Fertiggestellte Wohnungen mit erneuerbarer Heizenergie,Fertiggestellte Wohnungen mit erneuerbarer Heizenergie,,ENER,Energy,utilitiesCommunication,Utilities / Communication,ER,Energy resources
Bundestagswahl Zweitstimme BGE,Bundestagswahl Zweitstimme BGE,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Gebäude nach Anzahl der Wohnungen 3 bis 6 Wohnungen,Gebäude nach Anzahl der Wohnungen 3 bis 6 Wohnungen,,SOCI,Population and society,structure,Structure,BU,Buildings
Sicherheit,Sicherheit,,JUST,"Justice, legal system and public safety",society,Society,HH,Human health and safety
Bundestagswahl Erststimme Freie Union,Bundestagswahl Erststimme Freie Union,,GOVE,Government and public sector,society,Society,AM,Area management/restriction/regulation zones and reporting units
Betreuungsquote Kleinkinder,Betreuungsquote Kleinkinder,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Arbeitslose mit Anforderungsniveau Fachkraft,Arbeitslose mit Anforderungsniveau Fachkraft,,SOCI,Population and society,society,Society,PD,Population distribution — demography
(SDG 1) Armut - Altersarmut,(SDG 1) Armut - Altersarmut,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Staatsangehörigkeit Gruppen Deutschland,Staatsangehörigkeit Gruppen Deutschland,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Sozialleistungen – Bedarfsgemeinschaften,Sozialleistungen – Bedarfsgemeinschaften,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Erwerbsquote Frauen,Erwerbsquote Frauen,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Amtsgerichte,Amtsgerichte,,JUST,"Justice, legal system and public safety",society,Society,AU,Administrative units
Seniorenstatus eines privaten Haushalts Haushalt ohne Senior:innen,Seniorenstatus eines privaten Haushalts Haushalt ohne Senior:innen,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Pkw Hybrid insgesamt,Pkw Hybrid insgesamt,,TRAN,Transport,transportation,Transportation,TN,Transport networks
(SDG 8) Beschäftigungsquote - 55 Jahre und älter,(SDG 8) Beschäftigungsquote - 55 Jahre und älter,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Alter in 10er Jahresgruppen 30 bis 39,Alter in 10er Jahresgruppen 30 bis 39,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Beschäftigte am AO ohne Berufsabschluss,Beschäftigte am AO ohne Berufsabschluss,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Monatliches Haushaltseinkommen,Monatliches Haushaltseinkommen,,ECON,Economy and finance,economy,Farming,PD,Population distribution — demography
Baujahr Gebäude insgesamt,Baujahr Gebäude insgesamt,,REGI,Regions and cities,planningCadastre,Planning / Cadastre,BU,Buildings
Weibliche Schulabgänger mit allgemeiner Hochschulreife,Weibliche Schulabgänger mit allgemeiner Hochschulreife,,EDUC,"Education, culture and sport",society,Society,PD,Population distribution — demography
Bruttoinlandsprodukt in 1000 Euro,Bruttoinlandsprodukt in 1000 Euro,,ECON,Economy and finance,economy,Farming,SU,Statistical units
